indicator,Área geográfica,País__ESTANDAR,Años__ESTANDAR,Pobreza extrema y pobreza,Sexo__ESTANDAR,Clima educacional del hogar,value,unit,notes_ids,source_id
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Bolivia (Estado Plurinacional de),2021,Pobreza,Mujeres,Terciaria incompleta (incluye técnica terciaria),10.3,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Bolivia (Estado Plurinacional de),2021,Pobreza,Hombres,Terciaria incompleta (incluye técnica terciaria),10.9,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Bolivia (Estado Plurinacional de),2021,Pobreza,Hombres,Secundaria incompleta,32.8,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Bolivia (Estado Plurinacional de),2021,Pobreza,Mujeres,Secundaria incompleta,29.2,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Bolivia (Estado Plurinacional de),2021,Pobreza,Hombres,Primaria completa,42.9,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Bolivia (Estado Plurinacional de),2021,Pobreza,Hombres,Secundaria completa,28.7,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2012,Pobreza,Mujeres,Primaria completa,26.0,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2012,Pobreza,Mujeres,Terciaria incompleta (incluye técnica terciaria),12.4,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2012,Pobreza,Mujeres,Secundaria completa,26.8,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2012,Pobreza,Hombres,Primaria incompleta,31.4,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2012,Pobreza,Hombres,Terciaria completa,2.0,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2012,Pobreza,Mujeres,Secundaria incompleta,26.0,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2012,Pobreza,Hombres,Terciaria incompleta (incluye técnica terciaria),8.4,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2012,Pobreza,Hombres,Secundaria incompleta,19.1,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2012,Pobreza,Mujeres,Terciaria completa,3.0,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2012,Pobreza,Hombres,Primaria completa,27.8,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2012,Pobreza,Hombres,Secundaria completa,16.8,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2012,Pobreza,Mujeres,Primaria incompleta,25.6,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2013,Pobreza,Mujeres,Terciaria incompleta (incluye técnica terciaria),13.9,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2013,Pobreza,Mujeres,Primaria completa,25.8,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2013,Pobreza,Mujeres,Secundaria incompleta,26.2,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2013,Pobreza,Mujeres,Secundaria completa,23.3,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2013,Pobreza,Mujeres,Primaria incompleta,26.1,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2013,Pobreza,Hombres,Primaria incompleta,28.6,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2013,Pobreza,Hombres,Primaria completa,25.2,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2013,Pobreza,Mujeres,Terciaria completa,3.1,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2013,Pobreza,Hombres,Terciaria incompleta (incluye técnica terciaria),8.5,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2013,Pobreza,Hombres,Secundaria completa,16.8,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2013,Pobreza,Hombres,Secundaria incompleta,19.1,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2013,Pobreza,Hombres,Terciaria completa,2.0,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2014,Pobreza,Hombres,Secundaria completa,14.8,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2014,Pobreza,Hombres,Terciaria completa,1.8,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2014,Pobreza,Mujeres,Primaria incompleta,22.9,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2014,Pobreza,Hombres,Primaria incompleta,25.7,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2014,Pobreza,Mujeres,Secundaria incompleta,24.4,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2014,Pobreza,Mujeres,Terciaria incompleta (incluye técnica terciaria),13.0,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2014,Pobreza,Mujeres,Terciaria completa,2.9,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2014,Pobreza,Mujeres,Secundaria completa,23.7,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2014,Pobreza,Hombres,Terciaria incompleta (incluye técnica terciaria),8.3,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2014,Pobreza,Mujeres,Primaria completa,22.7,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2014,Pobreza,Hombres,Secundaria incompleta,17.7,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2014,Pobreza,Hombres,Primaria completa,22.4,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2015,Pobreza,Hombres,Secundaria incompleta,20.0,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2015,Pobreza,Hombres,Primaria completa,26.7,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2015,Pobreza,Mujeres,Terciaria completa,3.5,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2015,Pobreza,Hombres,Terciaria incompleta (incluye técnica terciaria),10.2,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2015,Pobreza,Hombres,Terciaria completa,2.4,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2015,Pobreza,Mujeres,Terciaria incompleta (incluye técnica terciaria),16.4,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2015,Pobreza,Hombres,Secundaria completa,19.4,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2015,Pobreza,Mujeres,Primaria incompleta,25.5,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2015,Pobreza,Mujeres,Secundaria completa,27.8,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2015,Pobreza,Mujeres,Secundaria incompleta,27.6,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2015,Pobreza,Hombres,Primaria incompleta,28.5,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2015,Pobreza,Mujeres,Primaria completa,27.4,Porcentaje,8608,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2016,Pobreza,Mujeres,Primaria completa,33.6,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2016,Pobreza,Mujeres,Terciaria completa,2.6,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2016,Pobreza,Mujeres,Secundaria completa,35.6,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2016,Pobreza,Hombres,Terciaria completa,1.9,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2016,Pobreza,Mujeres,Terciaria incompleta (incluye técnica terciaria),17.5,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2016,Pobreza,Mujeres,Secundaria incompleta,31.9,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2016,Pobreza,Hombres,Secundaria completa,23.6,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2016,Pobreza,Hombres,Terciaria incompleta (incluye técnica terciaria),11.1,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2016,Pobreza,Hombres,Secundaria incompleta,22.5,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2016,Pobreza,Hombres,Primaria completa,28.9,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2016,Pobreza,Mujeres,Primaria incompleta,31.6,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2016,Pobreza,Hombres,Primaria incompleta,34.0,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2017,Pobreza,Mujeres,Primaria completa,32.2,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2017,Pobreza,Mujeres,Primaria incompleta,33.1,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2017,Pobreza,Mujeres,Secundaria incompleta,32.1,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2017,Pobreza,Hombres,Primaria completa,30.3,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2017,Pobreza,Hombres,Secundaria completa,21.4,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2017,Pobreza,Hombres,Secundaria incompleta,23.6,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2017,Pobreza,Hombres,Terciaria completa,2.1,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2017,Pobreza,Hombres,Terciaria incompleta (incluye técnica terciaria),11.7,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2017,Pobreza,Mujeres,Secundaria completa,33.5,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2017,Pobreza,Hombres,Primaria incompleta,33.2,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2017,Pobreza,Mujeres,Terciaria completa,3.5,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2017,Pobreza,Mujeres,Terciaria incompleta (incluye técnica terciaria),17.8,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2018,Pobreza,Mujeres,Primaria completa,30.3,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2018,Pobreza,Mujeres,Secundaria completa,31.0,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2018,Pobreza,Mujeres,Primaria incompleta,31.9,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2018,Pobreza,Hombres,Secundaria completa,23.1,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2018,Pobreza,Hombres,Secundaria incompleta,23.2,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2018,Pobreza,Hombres,Terciaria completa,2.0,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2018,Pobreza,Hombres,Primaria incompleta,32.7,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2018,Pobreza,Hombres,Terciaria incompleta (incluye técnica terciaria),11.3,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2018,Pobreza,Mujeres,Secundaria incompleta,31.7,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2018,Pobreza,Mujeres,Terciaria incompleta (incluye técnica terciaria),17.7,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2018,Pobreza,Hombres,Primaria completa,29.2,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2018,Pobreza,Mujeres,Terciaria completa,2.3,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2019,Pobreza,Hombres,Primaria completa,28.8,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2019,Pobreza,Hombres,Primaria incompleta,32.7,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2019,Pobreza,Mujeres,Secundaria incompleta,32.5,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2019,Pobreza,Hombres,Terciaria completa,1.6,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2019,Pobreza,Hombres,Secundaria incompleta,21.9,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2019,Pobreza,Hombres,Secundaria completa,18.7,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2019,Pobreza,Hombres,Terciaria incompleta (incluye técnica terciaria),10.9,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2019,Pobreza,Mujeres,Primaria incompleta,32.8,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2019,Pobreza,Mujeres,Secundaria completa,32.1,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2019,Pobreza,Mujeres,Primaria completa,30.8,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2019,Pobreza,Mujeres,Terciaria incompleta (incluye técnica terciaria),18.2,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2019,Pobreza,Mujeres,Terciaria completa,2.8,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2020,Pobreza,Hombres,Terciaria completa,2.9,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2020,Pobreza,Mujeres,Secundaria completa,31.0,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2020,Pobreza,Hombres,Primaria completa,23.9,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2020,Pobreza,Hombres,Secundaria completa,18.9,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2020,Pobreza,Mujeres,Terciaria completa,4.5,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2020,Pobreza,Hombres,Secundaria incompleta,20.7,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2020,Pobreza,Hombres,Primaria incompleta,28.1,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2020,Pobreza,Hombres,Terciaria incompleta (incluye técnica terciaria),11.2,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2020,Pobreza,Mujeres,Secundaria incompleta,27.8,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2020,Pobreza,Mujeres,Primaria incompleta,28.6,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2020,Pobreza,Mujeres,Terciaria incompleta (incluye técnica terciaria),19.4,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2020,Pobreza,Mujeres,Primaria completa,23.4,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2021,Pobreza,Mujeres,Secundaria completa,42.4,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2021,Pobreza,Mujeres,Secundaria incompleta,39.0,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2021,Pobreza,Hombres,Terciaria completa,2.9,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2021,Pobreza,Mujeres,Primaria completa,38.1,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2021,Pobreza,Mujeres,Terciaria incompleta (incluye técnica terciaria),25.9,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2021,Pobreza,Mujeres,Terciaria completa,6.7,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2021,Pobreza,Hombres,Primaria incompleta,33.9,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2021,Pobreza,Hombres,Secundaria incompleta,26.9,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2021,Pobreza,Hombres,Terciaria incompleta (incluye técnica terciaria),15.4,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2021,Pobreza,Hombres,Secundaria completa,27.6,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2021,Pobreza,Mujeres,Primaria incompleta,34.8,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2021,Pobreza,Hombres,Primaria completa,34.8,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2022,Pobreza,Mujeres,Secundaria completa,33.8,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2022,Pobreza,Mujeres,Secundaria incompleta,32.7,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2022,Pobreza,Mujeres,Primaria completa,28.7,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2022,Pobreza,Mujeres,Terciaria completa,4.7,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2022,Pobreza,Hombres,Terciaria completa,2.2,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2022,Pobreza,Hombres,Secundaria incompleta,22.2,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2022,Pobreza,Hombres,Secundaria completa,20.0,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2022,Pobreza,Hombres,Terciaria incompleta (incluye técnica terciaria),11.4,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2022,Pobreza,Mujeres,Primaria incompleta,28.6,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2022,Pobreza,Hombres,Primaria incompleta,28.9,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2022,Pobreza,Hombres,Primaria completa,27.3,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Brasil,2022,Pobreza,Mujeres,Terciaria incompleta (incluye técnica terciaria),19.8,Porcentaje,8609,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Chile,2013,Pobreza,Hombres,Secundaria completa,13.7,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Chile,2013,Pobreza,Hombres,Terciaria incompleta (incluye técnica terciaria),5.6,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Chile,2013,Pobreza,Hombres,Primaria incompleta,20.5,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Chile,2013,Pobreza,Hombres,Primaria completa,16.1,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Chile,2013,Pobreza,Hombres,Terciaria completa,1.3,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Chile,2013,Pobreza,Hombres,Secundaria incompleta,20.4,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Chile,2013,Pobreza,Mujeres,Primaria completa,19.3,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Chile,2013,Pobreza,Mujeres,Terciaria completa,2.4,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Chile,2013,Pobreza,Mujeres,Primaria incompleta,22.0,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Chile,2013,Pobreza,Mujeres,Terciaria incompleta (incluye técnica terciaria),8.2,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Chile,2013,Pobreza,Mujeres,Secundaria completa,20.4,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Chile,2013,Pobreza,Mujeres,Secundaria incompleta,28.6,Porcentaje,,26
